麻黄,麻黄汤,治感冒、恶寒、发热、关节痛、风疹瘙痒、水肿表证
紫苏,加味香苏散,治风寒感冒、妊娠气胀、水肿、癣症，气滞胸闷、便秘
防风,防风通圣散,治风寒感冒、头风头痛、风寒湿痹、妇女崩漏、腹痛泄泻、自汗盗汗、白虎风、破伤风、阴道炎
生姜,生姜泻心汤,治中恶昏倒、中风痰迷、痰多咳嗽、劳嗽、癞疮、妊娠呕吐、产后尿潴留
羌活,九味羌活汤,治风寒感冒、头风头痛、风湿痹痛、扁桃腺炎、伤寒病、冠心病
苍耳子,苍耳子散,治风寒头痛、风寒湿痹、大麻风
柽柳,竹叶柳蒡汤,治麻疹不透、感冒、吐血、黄疸型肝炎、鼻咽癌
桂枝,桂枝茯苓汤,治感冒风寒、胸痹心痛、心血亏虚、风寒湿痹、妇女闭经、老年低血压
白芷,五积散,治风寒感冒、头风头痛、风湿痹痛、牙痛、鼻渊、风湿疹痒、寒湿带下、痈疽疮毒、烧伤
荆芥,川芎茶调散,治外感风热、风寒、头痛、咽痛、风疹瘙痒、麻疹不透、吐血衄血、便血崩漏
藁本,羌活胜湿汤,治外感风寒、头痛、腹痛、寒湿痹痛、胃痉挛、头屑
葱白,葱白七味饮,治外感风寒、咳嗽、阴囊肿痛、手足冻疮
胡荽,散寒止咳汤,治感受风寒、麻疹不透、风寒湿痹、咳嗽、小儿疳积、颈部淋巴结核
细辛,苓甘五味姜辛汤,治风寒感冒，头风头痛、风湿痹痛、神志昏迷、牙痛、鼻渊、慢性气管炎
薄荷,甘露消毒丹,治风寒温病、头痛目赤、腹痛吐泻、麻疹不透、骨蒸劳热、风疹、瘰疠
菊花,羚角钩藤汤,治外感风热、目赤头痛、眼目昏花、病后生翳、眉棱骨痛
葛根,葛根黄连汤,治栓塞性脑卒中、恶寒发热、麻疹不透、脾虚泄泻、急性肠梗阻
柴胡,大柴胡汤,治疟疾、盗汗、黄疸型肝炎、久泻脱肛、子宫脱垂
牛蒡子,牛蒡解肌汤,治外感风热、喉痹、麻疹不透、伤风、肺热咳嗽、百日咳、风疹
桑叶,桑菊饮,治感冒咳嗽、肺热咳嗽、肝阳眩晕、肺热咳血、头目晕眩、急性结膜炎
蔓荆子,蔓荆子汤,治风热头痛、目赤肿痛、齿龈肿痛、风湿痹痛
淡豆豉,葱豉桔梗汤,治外感风寒、温病初起，阴茎生苍
升麻,升麻葛根汤,治麻疹、肺痈、痔疮、脱肛、妇女血崩、子宫下垂、鼻窦炎、细菌性痢疾、眼肌型重症肌无力、火毒痈肿
浮萍,麻黄汤,治外感风热、水肿、汗斑、阴茎溃烂、急慢性荨麻疹
木贼,大黄当归散,治目赤、肾炎、肺痨、慢性肝炎、痔疮、水肿、脚气浮肿、扁症疣、外伤出血
辛夷花,加味苍耳散,治外感头痛、鼻漏、鼻渊、鼻炎、头面肿痒
蝉衣,消风散,治肺痈咳嗽、癫痫、麻疹、小儿惊风、风疹、破伤风、小儿麻痹症、妊娠子痫、小儿睾丸鞘膜积液
杨柳枝,柳枝汤,治痰热淋疾、疳积、肾囊风、四肢强直、癣疮、癞疮
大豆卷,薯蓣丸,治暑温、湿温、感冒发热、湿痹、水肿胀满
一 支黄花,消斑膏3号,治感冒、食滞腹胀、麻疹、疳积、腹痛泄泻、劳伤吐血、外阴白色病变
鹅不食草,碧云散,治感冒鼻塞、鼻渊、霍乱、黄疸、疳积、过敏性鼻炎、骨折、口眼歪邪
黄荆叶,黄荆解署丸,治感冒、中暑、小儿惊风、停奶乳胀、黄肿、风湿关节痛、钩虫病
芸香草,灵验回生丹,治伤暑感冒、寒痰喘咳、风寒湿痹、鹤膝风
石膏,石膏汤,治高热神昏、发斑发疹、喘促咳嗽、头痛、牙痛、喉风、湿疹、皮肤瘙痒
知母,达原饮,治温疫疟疾、高热烦渴、内热消渴、肺热燥咳、肠燥便秘、阴伤癃闭、骨蒸劳热
栀子,栀子豉汤,治高热实火、热毒尿血、湿热黄疸、吐血衄血、风湿骨痛、急性胃肠炎、痔核、早期食道癌
夏枯草,桔梗杏仁煎,治瘿瘤、瘰疬、感冒头痛、肝火上升、肿毒、目赤肿痛、肺痈吐血、低热盗汗
芦根,连朴饮,治麻疹、百日咳、肺痈、肺痿、霍乱吐泻
天花粉,玉液汤,治内热消渴、肺热咳血、糖尿病、乳腺炎、疮痈肿毒、杨梅疮，胃、十二指肠溃疡
鸭跖草,通阻4号,治淋病、腹水、痢疾、高血压、手指蛇头疔、流行性腮腺炎、输卵管不通
寒水石,紫雪丹,治温病、暑热烦渴、五脏积热、牙齿出血、宫颈糜烂、外伤感染
决明子,石斛夜光丸,治风热头痛、目赤涩痛、急性结膜炎、夜盲症、高血压、高血脂、冠心病、慢性肝炎
密蒙花,应验打志丹,治肝火上攻、目赤肿痛、青盲翳障
青葙子,复方降压散,治目赤翳障、夜盲、慢性葡萄膜炎、急性结膜炎、妇女白带、高血压
石龙芮,肉苁蓉散,治疟疾、头晕失眠、虚寒牙痛、妇女白带
夜明砂,布袋丸,治赤眼内障、青盲雀目、寒热积聚、疟疾、狐臭
熊胆,梅花点舌丹,治目赤肿痛、发热抽搐、癫痫、热毒疮疡
蕤仁,内障丸,治眼目昏暗、怕光羞明、翳膜、赤烂眼、白内障
淡竹叶,清瘟败毒饮,治外感风热、发烧头痛、神昏谵语、热淋、尿血、中暑
茶叶,茶调散,治风热头痛、各种喉症、火眼赤痛、小便不利、酒精、铅中毒
谷精草,川芎银花汤,治目赤肿痛、头风、翳障、脑风头痛、疳积、角膜软化症
蚕豆花,,治肺热咳嗽、痰中带血、水肿、血热漏下、小便黄赤、酒醉不醒
竹叶,竹叶石膏汤,治感冒、风热发烧、小便短赤、热渴、诸淋、伤寒湿病
黄芩,普济消毒饮,治暑温、湿热、咽喉肿痛、肺热咳嗽、黄疸、泻痢、火毒疮疡、胎动不安、腮腺炎
黄连,黄连解毒汤,治热病神昏、湿热下痢、血热吐衄、胃热呕吐、火毒疮疡、痈疽疔疮
黄柏,大补阴丸,治湿热黄疸、泻痢、带下、足膝肿痛、湿疹瘙痒、骨蒸劳热、盗汗、遗精、痈肿疮毒
龙胆草,龙胆泻肝汤,治湿热黄疸、目赤肿痛、筋痿肋痛、肾囊溃破、小便淋浊、乳腺炎
苦参,三物黄芩汤,治湿疹、湿热下痢、黄疸、大便下血、疥癣麻风、脂溢性皮炎
白鲜皮,消斑膏4号,治湿疹湿疮、风湿热痹、疥癣麻风、湿热黄疸、皮肤瘙痒
