药名,性味,功效,临床应用
麻黄,辛、微苦，温。肺膀胱,发汗解表，宣肺平喘，利水消肿,1、用于风寒表实证2.用于咳喘实证3.用于风水水肿
桂枝,辛、甘，温，肺心膀胱,发汗解肌，温经通脉，通阳化气,1、用于外感风寒表证2、用于寒凝血滞的痹证，脘腹冷痛，痛经，经闭等证3、用于胸痹，痰饮，水肿及心动悸，脉结代。
紫苏,辛，温， 肺脾,发汗解表，行气宽中，解鱼蟹毒,1、用于外感风寒证2、用于脾胃气滞证3、用于食鱼蟹中毒
生姜,辛，微温， 肺脾,发汗解表、温中止呕，温肺止咳,1、用于外感风寒表证2、用于多种呕吐证3、用于风寒咳嗽
香薷,辛，微温， 肺胃脾,发汗解表，化湿和中，利水消肿,1、用于阴暑证2、用于水肿
荆芥,辛，微温 肺肝,祛风解表，透疹止痒止血,1、用于外感表证2、用于麻疹透发不畅，风疹搔痒3、用于疮疡初起兼有表证4、用于吐衄下血
防风,辛甘微温，膀胱肝脾,祛风解表，胜湿止痛止痉,1、用于外感表证2、用于风寒湿痹证3、用于破伤风
羌活,辛苦温，膀胱肾,发散风寒，胜湿止痛,1、用于外感风寒表证2、用于风寒湿痹证
藁本,辛温，膀胱肝,祛风散寒，胜湿止痛,1、用于外感风寒，颠顶头痛 2、用于风寒湿痹
白芷,辛，温，肺胃,祛风散寒，通窍止痛，消肿排脓，燥湿止带,1、用于风寒感冒，头痛，牙痛2、用于鼻塞，鼻渊3、用于疮疡肿毒4、用于寒湿带下
细辛,辛温；有小毒，肺肾心,祛风解表，散寒止痛，温肺化饮，通窍,1、用于外感风寒及阳虚外感证2、用于头痛，痹痛，牙痛等痛证3、用于寒饮咳喘
苍耳子,辛苦温；有小毒，肺,祛风解表，宣通鼻窍，除湿止痛,1、用于风寒表证及鼻渊2、用于痹证
葱白,辛温，肺胃,发汗解表，散寒通阳,1.用于外感风寒表证，2.用于阴盛格阳证。
胡荽,辛温，肺胃,解表透疹，健胃消食,1.用于麻疹透发不畅，2.用于胃寒食滞
柽柳,辛平，肺胃心,解表透疹，祛风除湿,1. 用于麻疹透发不畅，2.用于风寒湿痹
辛夷,辛温；肺胃,发散风寒，宣通鼻窍,1、用于风寒头痛鼻塞2、用于鼻渊头痛
鹅不食草,辛，温；肺肝,祛风散寒，宣通鼻窍，化痰止咳,1、用于风寒头痛及鼻渊鼻塞2、用于湿疮肿毒3、用于寒痰咳喘证
薄荷,辛，凉； 肺肝,发散风热，清利咽喉，透疹解毒，疏肝解郁,1、用于外感风热及温病初起的发热、微恶风寒、头痛者2、用于风热上攻所致头痛目赤，咽喉肿痛3、用于麻疹初起透发不畅，或风疹搔痒4、用于肝气郁滞，证见胸闷、痛等
牛蒡子,辛，苦，寒；肺胃,发散风热，宣肺透疹，利咽散结，解毒消肿,1、用于外感风热，证见咳嗽、吐痰不利等2、用于麻疹初起，透发不畅及风热发疹等证3、用于风热或热毒上攻的咽喉肿痛4、用于热毒疮疡及痄腮
蝉蜕,甘，寒； 肺肝,发散风热，透疹止痒，祛风止痉，退翳明目,1、用于外感风热，咽痛喑哑2、用于麻疹初起，疹发不透及风疹瘙痒3、用于惊痫夜啼，破伤风证4、用于风热目赤，目翳，多泪
桑叶,甘苦，寒； 肺肝,发散风热，润肺止咳，平肝明目,1、用于外感风热，温病初起，证见发热头痛、咽喉肿痛等2、用于肺热或燥热伤肺，症见咳嗽痰少，鼻咽干燥等3、用于肝阳眩晕，目赤昏花
菊花,辛，甘，苦，微寒，肺肝,发散风热，清肝明目，平抑肝阳，清热解毒,1、用于外感风热及温病初起初起，发热头痛2、用于目疾3、用于肝阳上亢，头痛眩晕4、用于疔疮中毒
蔓荆子,辛苦微寒；膀胱肝胃,发散风热，清利头目,1、用于外感风热所致头晕、头痛及偏头痛等证2、用于目赤肿痛，目昏多泪
柴胡,苦辛，微寒，肝胆,疏散退热，疏肝解郁，升举阳气，清胆截疟,1、用于少阳证，外感发热2、用于肝郁气滞，胸胁疼痛，月经不调3、用于气虚下陷，久泻脱肛，胃、子宫下垂4、用于疟疾
