商品名,专业名
长效西林,注射用苄星青霉素
小苏打,碳酸氢钠
S.B.,碳酸氢钠
ATP,三磷酸腺苷二钠
TAT,破伤风
COAA,复合氨基酸
HCT,双氢氯噻嗪
5-FU,氟脲嘧啶
654-2,山莨菪碱
HCG,注射用绒促生素
CO-Alocii,辅酶凡
COPC,胞磷胆碱钠
TC,四环素
安定,地西平
心痛定,硝苯地平
舒乐安定,艾司唑仑
心得安,普萘洛尔
安体舒通,螺内酯
安洛血,肾上腺色腙
安痛定,复方氨林巴比妥注射液
诺和灵,精蛋白生物合成人胰岛素注射液
清芬,左旋布洛芬
消心痛,硝酸异山梨酯
消炎痛,吲哚美辛
病毒灵,吗啉胍
病毒唑,利巴韦林
阿米卡星,丁胺卡那霉素
灭滴灵,甲硝唑
鲁米那,苯巴比妥
他巴唑,甲硫咪唑
可拉明,尼可刹米
西咪替丁,甲氰咪呱
西比灵,盐酸氟桂利嗪
西地兰,去乙酰毛花苷
哌替啶,杜令丁
黄连素,盐酸小襞碱
弥可葆,甲钴胺
大仑丁,苯妥英钠
雷米封,异烟肼
先锋4,头孢氨苄
先锋5,头孢唑林
先锋6,头孢拉定
先锋必,头孢哌酮
痢特灵,呋喃唑酮
百炎净,复方新诺明
速尿片,呋塞米
阿司匹林,乙酰水杨酸
氟肽酸,诺氟沙星
胃复安,甲氧氯普胺
胃舒平,氢氧化铝
吗丁啉,多潘立酮
舒喘灵,硫酸沙丁胺醇
咳必清,喷托维林
克罗米芬,枸橼酸氯米芬
三苯氧胺,枸橼酸他莫昔芬
安宫黄体酮,醋酸甲羟孕酮
卵巢素,乙烯雌酚
催产素,缩宫素
扑尔敏,马来酸氯苯那敏
止血芳酸,氨甲苯酸
止血散,酸磺乙胺
强的松,醋酸泼尼松
扶他林,双氯芬酸二乙胺乳胶剂
利宁格,格列齐特缓释片
莱美清,加替沙星注射液
同息通-A,曲安萘德注射液
凯思宁,血塞通注射液
益替欣,注射用头孢替唑钠
替他欣,注射用盐酸头孢替安
非那根,复方愈创木酚磺酸钾口服溶液
食母生,干酵母
得蒲生,克林霉素
胺律酮,盐酸胺碘酮
阿拉明,重酒石酸河羟腔
倍他乐克,酒石酸美托洛尔
贺谱丁,拉米夫定
文迪雅,罗格列酮
释糖平,阿卡波糖
潘生丁,双密达莫
特普宁,头孢克肟颗粒
西乐葆,塞来昔布胶囊
敏使朗,甲磺酸倍他可汀片
黛力新,氟哌噻吨美利曲辛片
凯莱克林,盐酸克林霉素棕榈酸酯分散片
波依定,非洛地平缓释片
奥必欣,坎地沙坦酯分散片
络活喜,苯磺酸氨氯地平片
欣络平,甲磺酸氨氯地平片
科苏,厄贝沙坦片
耐信,埃索美拉唑镁肠溶片
洛赛克,奥美拉唑镁肠溶片
兰悉多,兰索拉唑片
雷宁,氯雷他定分散片
洛丁新,盐酸贝那普利片
洛普欣,果糖二磷酸钠片
万艾可,枸橼酸西地那非片
诺和龙,瑞格列奈片
都可喜,阿米三嗪萝巴新片
美多芭,多巴丝肼片
洁维乐,磷酸铝凝胶
肯特令,蒙脱石散
立力定,盐酸非索非那定胶囊
仁苏,罗红霉素胶囊
西乐欣,阿奇霉素片
凯莱止,盐酸依匹斯汀胶囊
伏乐新,头孢呋辛酯片
竹林胺,盐酸酚苄明片
里素劳,酮康唑片
斯皮仁诺,伊曲康唑胶囊
